1,892
2,700
3,208
4,152
5,104
6,48
7,132
8,12
9,28
10,4
11,204
12,452
13,28
14,16
15,4
16,192
17,16
18,20
19,8
20,36
21,16
22,136
23,8
24,64
25,144
26,28
27,48
28,112
29,132
30,56
31,44
32,108
33,16
34,116
35,8
36,128
37,28
38,36
39,12
40,76
41,12
42,280
43,44
44,104
45,12
46,12
47,88
48,32
49,8
50,136
51,104
52,320
53,12
54,40
55,232
56,40
57,12
58,164
59,68
60,24
61,268
62,12
63,64
64,48
65,1628
66,20
67,12
68,116
69,8
70,8
71,84
72,8
73,12
74,424
75,32
76,844
77,3364
78,712
79,64
80,8
81,24
82,24
83,72
84,24
85,68
86,48
87,52
88,8
89,1172
90,176
91,212
92,20
93,8
94,160
95,72
96,328
97,120
98,204
99,12
100,108
101,12
102,424
103,24
104,260
105,48
106,172
107,152
108,504
109,8
110,8172
111,128
112,8
113,64
114,48
115,100
116,640
117,4716
118,124
119,24
120,8
121,8
122,12
123,48
124,28
125,8
126,48
127,28
128,52
129,8
130,12364
131,72
132,20
133,44
134,4
135,16
136,544
137,56
138,12
139,16
140,32
141,20
142,44
143,24
144,60
145,16
146,88
147,104
148,4
149,16
150,28
151,80
152,40
153,40
154,12
155,64
156,96
157,680
158,24
159,824
160,8
161,68
162,16
163,156
164,12
165,20
166,104
167,28
168,8
169,16
170,84
171,104
172,232
173,28
174,140
175,236
176,24
177,32
178,28
179,20
180,32
181,68
182,40
183,232
184,64
185,4
186,12
187,32
188,32
189,36
190,24
191,68
192,188
193,416
194,128
195,36
196,436
197,88
198,56
199,132
200,8
201,16
202,12
203,36
204,72
205,16
206,232
207,56
208,4
209,32
210,4
211,96
212,4
213,80
214,108
215,192
216,80
217,8
218,64
219,4
220,88
221,316
222,96
223,152
